index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-7e1ab809-3669-9615-41ad-431040847bff,535.154.05,NVIDIA A800-SXM4-80GB,1321423020298,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
229509,[Not Found],GPU-7e1ab809-3669-9615-41ad-431040847bff,NVIDIA A800-SXM4-80GB,32328

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,81920,10794,70434,2025/06/16 01:59:01.785
0,0,81920,10794,70434,2025/06/16 01:59:06.841
0,0,81920,10794,70434,2025/06/16 01:59:11.888
0,0,81920,10794,70434,2025/06/16 01:59:16.943
0,0,81920,10794,70434,2025/06/16 01:59:22.000
0,0,81920,10794,70434,2025/06/16 01:59:27.029
0,0,81920,10794,70434,2025/06/16 01:59:32.085
0,0,81920,10794,70434,2025/06/16 01:59:37.116
0,0,81920,10794,70434,2025/06/16 01:59:42.173
0,0,81920,10794,70434,2025/06/16 01:59:47.229
0,0,81920,10794,70434,2025/06/16 01:59:52.276
0,0,81920,10794,70434,2025/06/16 01:59:57.311
0,0,81920,10794,70434,2025/06/16 02:00:02.354
0,0,81920,10794,70434,2025/06/16 02:00:07.391
0,0,81920,10794,70434,2025/06/16 02:00:12.440
0,0,81920,10794,70434,2025/06/16 02:00:17.473
0,0,81920,10794,70434,2025/06/16 02:00:22.524
0,0,81920,10794,70434,2025/06/16 02:00:27.550
0,0,81920,10794,70434,2025/06/16 02:00:32.603
0,0,81920,10794,70434,2025/06/16 02:00:37.639
0,0,81920,10794,70434,2025/06/16 02:00:42.697
0,0,81920,10794,70434,2025/06/16 02:00:47.730
0,0,81920,10794,70434,2025/06/16 02:00:52.757
0,0,81920,10794,70434,2025/06/16 02:00:57.793
0,0,81920,10794,70434,2025/06/16 02:01:02.848
0,0,81920,10794,70434,2025/06/16 02:01:07.887
0,0,81920,10794,70434,2025/06/16 02:01:12.918
0,0,81920,10794,70434,2025/06/16 02:01:17.956
0,0,81920,10794,70434,2025/06/16 02:01:22.988
0,0,81920,10794,70434,2025/06/16 02:01:28.027
